iter	Passed	Remaining
715	23859	16128
716	23890	16093
717	23924	16060
718	23960	16029
719	23997	15998
720	24028	15963
721	24058	15928
722	24094	15896
723	24122	15859
724	24155	15826
725	24192	15794
726	24226	15762
727	24264	15731
728	24291	15694
729	24327	15662
730	24358	15628
731	24391	15594
732	24423	15560
733	24457	15527
734	24492	15495
735	24529	15464
736	24562	15430
737	24600	15400
738	24629	15364
739	24674	15337
740	24702	15301
741	24740	15270
742	24774	15237
743	24805	15203
744	24837	15169
745	24871	15136
746	24908	15105
747	24963	15084
748	25000	15053
749	25034	15020
750	25065	14986
751	25099	14952
752	25128	14917
753	25160	14882
754	25196	14851
755	25245	14826
756	25281	14794
757	25319	14764
758	25359	14734
759	25391	14700
760	25420	14664
761	25459	14633
762	25500	14605
763	25534	14572
764	25567	14538
765	25596	14502
766	25633	14471
767	25673	14441
768	25706	14407
769	25744	14376
770	25779	14344
771	25818	14314
772	25854	14281
773	25883	14246
774	25915	14211
775	25948	14178
776	25988	14148
777	26021	14114
778	26047	14076
779	26077	14041
780	26115	14010
781	26154	13980
782	26186	13946
783	26224	13915
784	26271	13888
785	26309	13857
786	26346	13826
787	26376	13790
788	26405	13755
789	26444	13724
790	26477	13690
791	26513	13658
792	26544	13623
793	26580	13591
794	26617	13560
795	26654	13528
796	26688	13494
797	26721	13461
798	26757	13429
799	26790	13395
800	26824	13362
801	26856	13328
802	26890	13294
803	26924	13261
804	26956	13226
805	26989	13193
806	27031	13164
807	27068	13132
808	27106	13100
809	27139	13067
810	27185	13039
811	27223	13008
812	27262	12977
813	27310	12950
814	27352	12921
815	27393	12891
816	27427	12857
817	27468	12827
818	27506	12796
819	27545	12765
820	27580	12732
821	27618	12700
822	27656	12668
823	27689	12635
824	27731	12605
825	27762	12570
826	27795	12536
827	27833	12504
828	27899	12485
829	27937	12454
830	27977	12423
831	28021	12394
832	28063	12364
833	28110	12336
834	28152	12306
835	28191	12274
836	28228	12242
837	28269	12211
838	28310	12181
839	28362	12155
840	28402	12124
841	28439	12091
842	28474	12058
843	28512	12026
844	28545	11992
845	28582	11960
846	28627	11930
847	28669	11900
848	28717	11872
849	28760	11842
850	28806	11813
851	28844	11781
852	28883	11749
853	28941	11725
854	28979	11693
855	29011	11658
856	29051	11627
857	29086	11593
858	29121	11560
859	29168	11531
860	29219	11504
861	29258	11472
862	29295	11439
863	29338	11409
864	29392	11383
865	29438	11354
866	29472	11319
867	29508	11286
868	29543	11252
869	29578	11219
870	29611	11185
871	29677	11163
872	29774	11152
873	29821	11123
874	29872	11095
875	29912	11063
876	29947	11029
877	29988	10998
878	30016	10961
879	30050	10927
880	30091	10895
881	30130	10863
882	30168	10830
883	30203	10796
884	30254	10768
885	30292	10735
886	30336	10704
887	30373	10671
888	30418	10641
889	30456	10608
890	30502	10578
891	30539	10545
892	30578	10512
893	30618	10480
894	30650	10445
895	30681	10409
896	30718	10376
897	30746	10340
898	30777	10304
899	30812	10270
900	30847	10236
901	30879	10201
902	30905	10165
903	30935	10129
904	30967	10094
905	30996	10058
906	31031	10024
907	31063	9989
908	31093	9954
909	31129	9920
910	31158	9884
911	31190	9849
912	31225	9815
913	31261	9781
914	31292	9746
915	31322	9711
916	31352	9675
917	31381	9639
918	31414	9605
919	31441	9569
920	31476	9535
921	31505	9499
922	31541	9465
923	31575	9431
924	31611	9397
925	31646	9364
926	31674	9327
927	31712	9294
928	31734	9257
929	31767	9222
930	31803	9189
931	31838	9155
932	31875	9122
933	31903	9085
934	31939	9052
935	31968	9016
936	32008	8984
937	32046	8951
938	32079	8916
939	32116	8883
940	32144	8847
941	32175	8812
942	32204	8776
943	32235	8741
944	32261	8705
945	32293	8670
946	32333	8638
947	32365	8603
948	32394	8567
949	32428	8533
950	32466	8500
951	32496	8465
952	32527	8430
953	32565	8397
954	32599	8363
955	32632	8328
956	32671	8295
957	32704	8261
958	32738	8227
959	32771	8192
960	32807	8159
961	32842	8125
962	32871	8089
963	32902	8054
964	32935	8020
965	32966	7985
966	32999	7951
967	33033	7917
968	33087	7887
969	33120	7853
970	33158	7820
971	33190	7785
972	33217	7749
973	33251	7715
974	33280	7680
975	33316	7646
976	33351	7612
977	33384	7578
978	33421	7544
979	33450	7509
980	33480	7474
981	33509	7438
982	33542	7404
983	33576	7370
984	33610	7336
985	33641	7301
986	33678	7267
987	33712	7233
988	33744	7199
989	33777	7165
990	33815	7131
991	33853	7098
992	33885	7063
993	33919	7029
994	33955	6995
995	33988	6961
996	34023	6927
997	34055	6893
998	34084	6857
999	34121	6824
1000	34154	6789
1001	34185	6755
1002	34213	6719
1003	34244	6685
1004	34280	6651
1005	34313	6617
1006	34344	6582
1007	34377	6548
1008	34415	6514
1009	34447	6480
1010	34476	6445
1011	34514	6411
1012	34543	6376
1013	34576	6342
1014	34601	6306
1015	34637	6272
1016	34673	6239
1017	34704	6204
1018	34734	6169
1019	34767	6135
1020	34798	6100
1021	34835	6067
1022	34869	6033
1023	34898	5998
1024	34932	5964
1025	34965	5929
1026	35000	5895
1027	35033	5861
1028	35068	5827
1029	35103	5793
1030	35136	5759
1031	35167	5724
1032	35200	5690
1033	35228	5655
1034	35260	5621
1035	35289	5586
1036	35321	5551
1037	35357	5518
1038	35384	5483
1039	35415	5448
1040	35448	5414
1041	35477	5379
1042	35506	5344
1043	35530	5309
1044	35560	5274
1045	35598	5241
1046	35630	5206
1047	35667	5173
1048	35701	5139
1049	35730	5104
1050	35763	5070
1051	35802	5036
1052	35839	5003
1053	35868	4968
1054	35902	4934
1055	35931	4899
1056	35967	4865
1057	35996	4831
1058	36034	4797
1059	36072	4764
1060	36104	4729
1061	36142	4696
1062	36178	4662
1063	36212	4628
1064	36242	4594
1065	36270	4559
1066	36301	4524
1067	36334	4490
1068	36365	4456
1069	36397	4422
1070	36430	4387
1071	36470	4354
1072	36501	4320
1073	36535	4286
1074	36572	4252
1075	36603	4218
1076	36631	4183
1077	36669	4149
1078	36694	4115
1079	36720	4080
1080	36750	4045
1081	36783	4011
1082	36812	3976
1083	36841	3942
1084	36870	3907
1085	36901	3873
1086	36934	3839
1087	36970	3805
1088	37003	3771
1089	37033	3737
1090	37068	3703
1091	37097	3668
1092	37124	3634
1093	37155	3600
1094	37190	3566
1095	37226	3532
1096	37258	3498
1097	37286	3463
1098	37320	3429
1099	37354	3395
1100	37384	3361
1101	37415	3327
1102	37450	3293
1103	37482	3259
1104	37540	3227
1105	37571	3193
1106	37604	3159
1107	37639	3125
1108	37674	3091
1109	37707	3057
1110	37739	3023
1111	37772	2989
1112	37801	2954
1113	37840	2921
1114	37868	2886
1115	37898	2852
1116	37928	2818
1117	37959	2784
1118	37998	2750
1119	38034	2716
1120	38066	2682
1121	38100	2648
1122	38132	2614
1123	38168	2580
1124	38203	2546
1125	38237	2512
1126	38274	2479
1127	38304	2444
1128	38333	2410
1129	38368	2376
1130	38397	2342
1131	38427	2308
1132	38460	2274
